name,period,title,description,id,value,datetime_insights_pulled,Post ID,Account ID,Account username,Account name,Description,Duration (sec),Publish time,Permalink,Post type,Data comment,Date,Reach,Likes,Shares,Comments,Saves,Follows,datetime_extracted,Views
comments,lifetime,Comments,The number of comments on your reel.,18013117540740395,1,2025-03-07 20:34:35,18013117540740395,17841461458191255,locwithaush,Aushanae Haller,"I love all my followers though 🥺🫶🏽 y’all are the best
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",6,09/25/2023 11:03,https://www.instagram.com/reel/Cxn8bhBuufV/,IG reel,,Lifetime,910,64,1,1,3,5.0,2025-03-07 18:25:04,
ig_reels_avg_watch_time,lifetime,Reels Average Watch Time (milliseconds),This body communicates the definition for reels average watch time,18013117540740395,6747,2025-03-07 20:34:35,18013117540740395,17841461458191255,locwithaush,Aushanae Haller,"I love all my followers though 🥺🫶🏽 y’all are the best
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",6,09/25/2023 11:03,https://www.instagram.com/reel/Cxn8bhBuufV/,IG reel,,Lifetime,910,64,1,1,3,5.0,2025-03-07 18:25:04,
ig_reels_video_view_total_time,lifetime,Video View Total Time (milliseconds),This body communicates the definition for reels video view watch time,18013117540740395,6639898,2025-03-07 20:34:35,18013117540740395,17841461458191255,locwithaush,Aushanae Haller,"I love all my followers though 🥺🫶🏽 y’all are the best
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",6,09/25/2023 11:03,https://www.instagram.com/reel/Cxn8bhBuufV/,IG reel,,Lifetime,910,64,1,1,3,5.0,2025-03-07 18:25:04,
likes,lifetime,Likes,The number of likes on your reel.,18013117540740395,64,2025-03-07 20:34:35,18013117540740395,17841461458191255,locwithaush,Aushanae Haller,"I love all my followers though 🥺🫶🏽 y’all are the best
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",6,09/25/2023 11:03,https://www.instagram.com/reel/Cxn8bhBuufV/,IG reel,,Lifetime,910,64,1,1,3,5.0,2025-03-07 18:25:04,
reach,lifetime,Accounts reached,"The number of unique accounts that have seen this reel, at least once. Reach is different from impressions, which may include multiple views of your reel by the same accounts. This metric is estimated.",18013117540740395,926,2025-03-07 20:34:35,18013117540740395,17841461458191255,locwithaush,Aushanae Haller,"I love all my followers though 🥺🫶🏽 y’all are the best
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",6,09/25/2023 11:03,https://www.instagram.com/reel/Cxn8bhBuufV/,IG reel,,Lifetime,910,64,1,1,3,5.0,2025-03-07 18:25:04,
saved,lifetime,Saved,The number of saves of your reel.,18013117540740395,3,2025-03-07 20:34:35,18013117540740395,17841461458191255,locwithaush,Aushanae Haller,"I love all my followers though 🥺🫶🏽 y’all are the best
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",6,09/25/2023 11:03,https://www.instagram.com/reel/Cxn8bhBuufV/,IG reel,,Lifetime,910,64,1,1,3,5.0,2025-03-07 18:25:04,
shares,lifetime,Shares,The number of shares of your reel.,18013117540740395,1,2025-03-07 20:34:35,18013117540740395,17841461458191255,locwithaush,Aushanae Haller,"I love all my followers though 🥺🫶🏽 y’all are the best
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",6,09/25/2023 11:03,https://www.instagram.com/reel/Cxn8bhBuufV/,IG reel,,Lifetime,910,64,1,1,3,5.0,2025-03-07 18:25:04,
total_interactions,lifetime,Reels interactions,"The number of likes, saves, comments and shares on your reels minus the number of unlikes, unsaves and deleted comments.",18013117540740395,69,2025-03-07 20:34:35,18013117540740395,17841461458191255,locwithaush,Aushanae Haller,"I love all my followers though 🥺🫶🏽 y’all are the best
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",6,09/25/2023 11:03,https://www.instagram.com/reel/Cxn8bhBuufV/,IG reel,,Lifetime,910,64,1,1,3,5.0,2025-03-07 18:25:04,
views,lifetime,Views,The number of times your reels was played or displayed,18013117540740395,1740,2025-03-07 20:34:35,18013117540740395,17841461458191255,locwithaush,Aushanae Haller,"I love all my followers though 🥺🫶🏽 y’all are the best
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",6,09/25/2023 11:03,https://www.instagram.com/reel/Cxn8bhBuufV/,IG reel,,Lifetime,910,64,1,1,3,5.0,2025-03-07 18:25:04,
comments,lifetime,Comments,The number of comments on your post.,18015672733855145,17,2025-03-07 20:34:35,18015672733855145,17841461458191255,locwithaush,Aushanae Haller,"Progress post for this #texturetuesday ☺️ Babies are starting to lose that twist pattern ‼️ Love doing these comparisons cause it’s hard to see the changes without them. That new growth going crazy too 🤪. 
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",0,09/26/2023 06:51,https://www.instagram.com/p/CxqEfGDuL4Z/,IG image,,Lifetime,7630,510,15,17,47,33.0,2025-03-07 18:25:04,
