"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Reach,Likes,Shares,Follows,Comments,Saves
17955150578685763,17841461458191255,locwithaush,"Aushanae Haller","Bang went from eyebrow to nose length between 1/4 and 1/2 a year 🫶🏽
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"01/31/2024 12:57",https://www.instagram.com/p/C2x2OGQO1zO/,"IG image",,Lifetime,23297,1250,28,46,12,103
17981678441512603,17841461458191255,locwithaush,"Aushanae Haller","My locs reminds me of chicken tenders 👀 Happy #texturetuesday 🫶🏽

•
•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"04/30/2024 11:25",https://www.instagram.com/p/C6ZUb6-OaVv/,"IG image",,Lifetime,5743,494,16,24,12,31
17974645595562456,17841461458191255,locwithaush,"Aushanae Haller","I share a lot of progress posts but I have yet to post what progress looks like without a fresh rewtist, so here it is! This is the raw, uncut, untamed progress of a 4c loc journey. I love a good retwist, but the reality is that most days (if you’re washing your hair like you need to) they’re gonna look similar to this ‼️ and personally I love that. But for those with 4c hair considering the loc journey themselves, depending on where you are in your relationship with your hair in its natural state, this can be difficult to accept. A lot of the pictures on the explore page are overwhelmingly either retwists on long locs, locs that are dense enough to fall, and/or locs that are always styled. And they all look amazing, but they’re only a small part of the whole picture. I hope with this post to be authentic about what it looks like throughout the whole journey for some of us, even if it’s not what trends or gets the most likes for the sleekest looks. And the crazy part is it’s still incredibly beautiful, the growth is apparent and the locs are thriving just as much ‼️ Thanks for reading my little rant 🫶🏽 you’re the best ☺️

•
•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"04/26/2024 09:00",https://www.instagram.com/p/C6RVatZOlHz/,"IG image",,Lifetime,8157,430,27,6,2,43
18017636531240071,17841461458191255,locwithaush,"Aushanae Haller","9 Months Downnnn 🎉 Happy #texturetuesday y’all 🫶🏽 The last quarter of my first year locked in officially begins and the countdown starts now ‼️ In the meantime I’m experimenting with styles a bit more like this one 🤩 What do y’all think? Would you rock this style?

•
•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"04/23/2024 09:00",https://www.instagram.com/p/C6HCPoUOP9-/,"IG carousel",,Lifetime,10511,990,30,39,12,58
18048667666579103,17841461458191255,locwithaush,"Aushanae Haller","So in preparation for my 9 month retwist today I went ahead and crocheted the bottom 3 rows and around the perimeter in the front/sides. My bottom three rows & perimeter had an unreasonable amount of loose hair and it was eventually going to cause my locs to thin. So I wanted to try crocheting the roots before locksmithing them. Scroll to the end to see the results. The top of my head is a bit more controlled so I’m just going to locksmith those without crochet 💕 Stay tuned for the final retwist ‼️🫶🏽

•
•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"04/21/2024 13:17",https://www.instagram.com/p/C6CWC1TOS7m/,"IG carousel",,Lifetime,10803,560,25,31,4,53
17917177487813463,17841461458191255,locwithaush,"Aushanae Haller","First progress pic including Month 8 this #texturetuesday 🤩 This may be my favorite progress pic yet because it really shows the beginning loc stages. In fact soon I won’t even be able to call my locs starters anymore… what do y’all think? Are my locs still considered starter locs? 💕

•
•
•

#locjourney #locs #locstyles #starterlocs❓#loclivin #locd #loccommunity #naturalhair #explorepage",0,"04/16/2024 08:23",https://www.instagram.com/p/C508dfyOfRR/,"IG image",,Lifetime,7498,389,6,8,2,30
18003065996440309,17841461458191255,locwithaush,"Aushanae Haller","Now look y’all can say the pony’s short but y’all can’t say the pony aint there ‼️ Day 266 🫶🏽 This is definitely a high tension style & because of that it will be down by the end of the day 😗 Just like to switch it up occasionally ☺️
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"04/11/2024 14:58",https://www.instagram.com/p/C5oxsKnulRj/,"IG carousel",,Lifetime,10394,703,28,36,3,37
18104257327377559,17841461458191255,locwithaush,"Aushanae Haller","Day 261 🫶🏽 Locs were a bit dressed up this weekend for my eclipse trip ☺️ first time wearing beads and I definitely think I’ll start wearing them more! Did you catch the eclipse today?
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"04/08/2024 17:12",https://www.instagram.com/p/C5hSo8KPc3B/,"IG image",,Lifetime,5371,485,3,33,17,29
18259217083209583,17841461458191255,locwithaush,"Aushanae Haller","This may be just another #texturetuesday for y’all 👀 but for me it’s so, so meaningful. Let me tell you why:

I’ve never been able to go a week post retwist without washing it out due to excessive itching caused by dandruff… but today, I’m 10 DAYS POST RETWIST 😃 I’m not sure what exactly helped, but I’ve been trying a combination of things (comment below if you’re interested in knowing what I’ve been doing ☺️). And I’m not itchy at all. You can even see some of the locs at the top still twisted ‼️ I’m curious to see how long I can comfortably go before the next wash & retwist 😌 I’ll keep you posted 😜 Happy Texture Tuesday!

•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"04/02/2024 12:23",https://www.instagram.com/p/C5RUtz4pgWO/,"IG image",,Lifetime,4235,339,3,19,7,17
18038410606776532,17841461458191255,locwithaush,"Aushanae Haller","8 Month Retwist 🙌🏽🤩‼️ I think my locs are almost more, or just as much black as red 🫣 What do y’all think? ☺️

•

I also lowkey took a nap before taking this pic so they a little flatter than usual 😂 but I did make an observation that in the early stages I feel like the length was increasing rapidly from month to month because the locs were thinner, so the loc stretched more. I think at this point in the journey, the length is going to slow down a bit, but thickness is going to start kicking in. Cause this retwist I really had to put in the work to make them stay twisted especially towards the crown of my head😮‍💨This is just a theory 🤷🏽‍♀️ can’t wait to see what happens and as always I’ll document the progress ‼️

•
•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"03/24/2024 08:00",https://www.instagram.com/p/C45rfYZusXe/,"IG carousel",,Lifetime,9709,838,29,32,7,100
