"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18051358544134609,17841461458191255,locwithaush,"Aushanae Haller","I tell them every-time that I’m not gonna retwist their hair.. I barely ever feel like doing my own. Somehow I always end up here 🤔😉🥰 but I always appreciate the opportunity to spend quality time together 💕✨

❤️‍🔥

❤️‍🔥

❤️‍🔥

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",57,"03/02/2025 09:00",https://www.instagram.com/reel/DGgN8WJODI8/,"IG reel",,Lifetime,847,573,40,1,,1,2
18006409652537713,17841461458191255,locwithaush,"Aushanae Haller","Likeeee it needed to be butt length yesterday 👏🏽😭

🤎

🤎

🤎

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",9,"03/01/2025 08:00",https://www.instagram.com/reel/DGqaNAZOfga/,"IG reel",,Lifetime,2499,1823,144,14,1,14,1
17918353503058732,17841461458191255,locwithaush,"Aushanae Haller","When I’m with you 😮‍💨🫶🏽…

❤️‍🔥

❤️‍🔥

❤️‍🔥

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",40,"02/28/2025 12:00",https://www.instagram.com/reel/DGn8RiMO_e5/,"IG reel",,Lifetime,677,451,40,2,,9,1
18362075236134238,17841461458191255,locwithaush,"Aushanae Haller","Be Naive ~ believe in yourself as children do 🌀👏🏽 GO DO THE THING 🗣️

🌀

🌀

🌀

#locs #locjourney #locs #retwist #blackgirlmagic #locslove #explorepage #woc #creativity #art #selfexpression #radicalcreativity #authenticity",94,"02/27/2025 09:00",https://www.instagram.com/reel/DGlXgGaumK4/,"IG reel",,Lifetime,443,327,38,0,,5,0
18112697437456531,17841461458191255,locwithaush,"Aushanae Haller","See this is why I’m so tempted to dye my hair red again‼️‼️ I’ve been thinking about starting my journey since 2022 because of this faux loc style I did on myself. Been in love with locs ever since. Imagine I had started in 2022 😤. Better late than never though, and 1.5 years in. Y’all see the vision though right??
•
•
•
#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair",0,"02/27/2025 07:00",https://www.instagram.com/p/DGlXekKOweU/,"IG image",,Lifetime,956,753,147,1,,6,5
17954013995919634,17841461458191255,locwithaush,"Aushanae Haller","PSA @ Slide 5 ~ Thank You 🫶🏽 #wrapwednesday 

🤎

🤎

🤎

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",0,"02/26/2025 09:00",https://www.instagram.com/p/DGiysFZOYLz/,"IG carousel",,Lifetime,1151,757,146,7,,36,5
18264818587283204,17841461458191255,locwithaush,"Aushanae Haller","So ready for Spring #texturetuesday 😭🌺 • 1y 7m 1d

🌷

🌷

🌷

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",0,"02/25/2025 09:00",https://www.instagram.com/p/DGgN54bOuE_/,"IG carousel",,Lifetime,492,307,73,2,,6,1
18032597006542004,17841461458191255,locwithaush,"Aushanae Haller","My last trip >>> getting the room for free is almost as amazing as the views from @ventanabigsur 😍😍 (DM me for details). I can not wait to go back and stay so much longer ‼️ Perfect retreat for couples, spent Valentine’s Day there with my boo ☺️😘 Have you been reminiscing on past trips lately? 💬 #missingthesun

❤️‍🔥

❤️‍🔥

❤️‍🔥

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #traveling #travelhacks  #travel",35,"02/22/2025 16:52",https://www.instagram.com/reel/DGZURaOO9cR/,"IG reel",,Lifetime,198,130,4,0,,1,1
17999071352737946,17841461458191255,locwithaush,"Aushanae Haller","1 Year & 7 Months Today ❤️‍🔥‼️ My babies are finally long enough for side parts 😍 low tension styles >>>

❤️‍🔥

❤️‍🔥

❤️‍🔥

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",25,"02/20/2025 13:31",https://www.instagram.com/reel/DGT0gUCpeSW/,"IG reel",,Lifetime,2391,1695,142,6,4,15,6
18008162927524878,17841461458191255,locwithaush,"Aushanae Haller","Now that my hair can go into a high pony it’s so much easier to do wraps now 😍 #wrapwednesday • 1d 6m 26d

🤎

🤎

🤎

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair
#retwist #locvibes",0,"02/19/2025 09:00",https://www.instagram.com/p/DGQxLfTum2n/,"IG carousel",,Lifetime,577,391,71,1,,8,2
18032416316533117,17841461458191255,locwithaush,"Aushanae Haller","Ft. My first attempt at loc sprinkles 🫣 How’d I do? 1y•6m•26d #texturetuesday 

❤️‍🔥

❤️‍🔥

❤️‍🔥

❤️‍🔥

#locjourney #locs #locstyles #blackgirlmagic #locslove #explorepage #woc #naturallocs #locinspiration #locdhaircommunity #locnation #loclife #loclivin #loccommunity #locdbeauty #locqueen #naturalhairstyles #healthyhair",0,"02/18/2025 10:38",https://www.instagram.com/p/DGOXmYMpzKH/,"IG carousel",,Lifetime,724,524,81,3,2,2,5
