"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18467246761015486,17841461458191255,locwithaush,"Aushanae Haller","2nd Year, First Quarter: Progress Update 😊
•
•
Idkkkk y’all it’s looking like it really could reach shoulder length by the end of the 2nd year ‼️ We’ll definitely have to confirm at the 1.5 year mark 🤩 what does everyone think??",0,"11/02/2024 13:28",https://www.instagram.com/p/DB4eSbDJklO/,"IG image",,Lifetime,257515,247212,9020,387,529,132,1114
18010603547694850,17841461458191255,locwithaush,"Aushanae Haller","IT’S STILL TUESDAY CENTRAL TIME #texturetuesday • 1y 6m 8d 💕
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #elocd #loccommunity #naturalhair #explorepage",7,"01/28/2025 21:17",https://www.instagram.com/reel/DFZb6XZONjt/,"IG reel",,Lifetime,2472,1623,128,3,3,4,10
18389106109102747,17841461458191255,locwithaush,"Aushanae Haller","Progress pic for #texturetuesday 🫶🏽",0,"01/14/2025 16:18",https://www.instagram.com/p/DE02skaullg/,"IG image",,Lifetime,2300,1818,220,8,7,1,10
18042083333196296,17841461458191255,locwithaush,"Aushanae Haller","Close-up this #texturetuesday ☺️ • 1y 5m 10d
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"12/31/2024 14:18",https://www.instagram.com/p/DEQl1dXJgNg/,"IG carousel",,Lifetime,1900,1446,162,2,4,3,9
18261929770248946,17841461458191255,locwithaush,"Aushanae Haller","Pipe cleaner curls for graduation 👩🏽‍🎓 🫶🏽 Masters in Data Science - DONEEEE 🤩 ✅
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"12/28/2024 11:06",https://www.instagram.com/p/DEIhal4J4it/,"IG carousel",,Lifetime,2513,1725,365,6,5,31,11
18313891447161300,17841461458191255,locwithaush,"Aushanae Haller","Time for a progress pic 🤩
•
•
•
As a follow up to the last progress pic: What are we thinking now about length at the end of year 2?",0,"12/20/2024 11:29",https://www.instagram.com/p/DDz9qzOp41o/,"IG image",,Lifetime,5524,4724,465,4,4,3,29
18037593158090662,17841461458191255,locwithaush,"Aushanae Haller","Happy #texturetuesday 🫶🏽 1y 4m 27d
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"12/17/2024 12:09",https://www.instagram.com/p/DDsT9n6JYwj/,"IG image",,Lifetime,2166,1772,273,6,6,4,11
18455079163071908,17841461458191255,locwithaush,"Aushanae Haller","1st time trying pipe cleaner curls 🤩! •1y 4m 16d
•",0,"12/06/2024 13:13",https://www.instagram.com/p/DDQGeaIpRt5/,"IG carousel",,Lifetime,3379,2645,318,14,14,10,13
18047870951494505,17841461458191255,locwithaush,"Aushanae Haller","I’ve been inactive cause it’s one week till I graduate and it’s crunch time ‼️🤩 but Happy #texturetuesday - here’s a quick pic I took a couple days ago. Hope everyone had a great Thanksgiving ☺️
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"12/03/2024 15:16",https://www.instagram.com/p/DDImMRTuun_/,"IG image",,Lifetime,2781,2264,317,3,12,8,13
18078937681503767,17841461458191255,locwithaush,"Aushanae Haller","Happy #texturetuesday 🫶🏽 tb to last retwist (15 Months), never posted a pic from the back ‼️
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"11/19/2024 16:22",https://www.instagram.com/p/DCkql6OOPJg/,"IG image",,Lifetime,4822,4046,437,14,10,4,29
18038272145224923,17841461458191255,locwithaush,"Aushanae Haller","Happy #texturetuesday 🤩 • 1 year, 3 months and 23 days
•
Idk what this style is called but it’s my go to up do look atm ‼️ very low tension, so I love it 💕 hope you have a great day todayyyyyy 🫶🏽
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"11/12/2024 14:15",https://www.instagram.com/p/DCSairUu5w3/,"IG carousel",,Lifetime,6831,5543,575,13,13,25,38
