name,period,title,description,id,value,datetime_now
comments,lifetime,Comments,The number of comments on your reel.,18013117540740395,1,2025-03-07 15:16:23
ig_reels_avg_watch_time,lifetime,Reels Average Watch Time (milliseconds),This body communicates the definition for reels average watch time,18013117540740395,6747,2025-03-07 15:16:23
ig_reels_video_view_total_time,lifetime,Video View Total Time (milliseconds),This body communicates the definition for reels video view watch time,18013117540740395,6639898,2025-03-07 15:16:23
likes,lifetime,Likes,The number of likes on your reel.,18013117540740395,64,2025-03-07 15:16:23
reach,lifetime,Accounts reached,"The number of unique accounts that have seen this reel, at least once. Reach is different from impressions, which may include multiple views of your reel by the same accounts. This metric is estimated.",18013117540740395,926,2025-03-07 15:16:23
saved,lifetime,Saved,The number of saves of your reel.,18013117540740395,3,2025-03-07 15:16:23
shares,lifetime,Shares,The number of shares of your reel.,18013117540740395,1,2025-03-07 15:16:23
total_interactions,lifetime,Reels interactions,"The number of likes, saves, comments and shares on your reels minus the number of unlikes, unsaves and deleted comments.",18013117540740395,69,2025-03-07 15:16:23
views,lifetime,Views,The number of times your reels was played or displayed,18013117540740395,1740,2025-03-07 15:16:23
comments,lifetime,Comments,The number of comments on your post.,18015672733855145,17,2025-03-07 15:16:23
follows,lifetime,Follows,This is how many accounts started following you.,18015672733855145,33,2025-03-07 15:16:23
likes,lifetime,Likes,The number of likes on your post.,18015672733855145,510,2025-03-07 15:16:23
profile_activity,lifetime,Profile activity,"[IG Insights] This header is the name of a metric that appears on an educational info sheet for a particular post, story, video or promotion. This metric is the sum of all profile actions people take when they engage with this content.",18015672733855145,1,2025-03-07 15:16:23
profile_visits,lifetime,Profile Visits,The number of times your profile was visited.,18015672733855145,295,2025-03-07 15:16:23
reach,lifetime,Accounts reached,"The number of unique accounts that have seen this post, at least once. Reach is different from impressions, which may include multiple views of your post by the same accounts. This metric is estimated.",18015672733855145,7895,2025-03-07 15:16:23
saved,lifetime,Saved,The number of saves of your post.,18015672733855145,47,2025-03-07 15:16:23
shares,lifetime,Shares,The number of shares of your post.,18015672733855145,15,2025-03-07 15:16:23
total_interactions,lifetime,Post interactions,"The number of likes, saves, comments and shares on your post minus the number of unlikes, unsaves and deleted comments.",18015672733855145,589,2025-03-07 15:16:23
views,lifetime,Views,The number of times your post was played or displayed.,18015672733855145,0,2025-03-07 15:16:23
comments,lifetime,Comments,The number of comments on your reel.,17973978623547525,0,2025-03-07 15:16:24
ig_reels_avg_watch_time,lifetime,Reels Average Watch Time (milliseconds),This body communicates the definition for reels average watch time,17973978623547525,6115,2025-03-07 15:16:24
ig_reels_video_view_total_time,lifetime,Video View Total Time (milliseconds),This body communicates the definition for reels video view watch time,17973978623547525,11361972,2025-03-07 15:16:24
likes,lifetime,Likes,The number of likes on your reel.,17973978623547525,108,2025-03-07 15:16:24
reach,lifetime,Accounts reached,"The number of unique accounts that have seen this reel, at least once. Reach is different from impressions, which may include multiple views of your reel by the same accounts. This metric is estimated.",17973978623547525,1765,2025-03-07 15:16:24
saved,lifetime,Saved,The number of saves of your reel.,17973978623547525,5,2025-03-07 15:16:24
shares,lifetime,Shares,The number of shares of your reel.,17973978623547525,1,2025-03-07 15:16:24
total_interactions,lifetime,Reels interactions,"The number of likes, saves, comments and shares on your reels minus the number of unlikes, unsaves and deleted comments.",17973978623547525,114,2025-03-07 15:16:24
views,lifetime,Views,The number of times your reels was played or displayed,17973978623547525,2826,2025-03-07 15:16:24
comments,lifetime,Comments,The number of comments on your post.,18010918453898102,8,2025-03-07 15:16:24
follows,lifetime,Follows,This is how many accounts started following you.,18010918453898102,3,2025-03-07 15:16:24
likes,lifetime,Likes,The number of likes on your post.,18010918453898102,151,2025-03-07 15:16:24
profile_activity,lifetime,Profile activity,"[IG Insights] This header is the name of a metric that appears on an educational info sheet for a particular post, story, video or promotion. This metric is the sum of all profile actions people take when they engage with this content.",18010918453898102,0,2025-03-07 15:16:24
profile_visits,lifetime,Profile visits,The number of times your profile was visited.,18010918453898102,73,2025-03-07 15:16:24
reach,lifetime,Accounts reached,"The number of unique accounts that have seen this carousel container, at least once. Reach is different from impressions, which may include multiple views of your carousel container by the same accounts. This metric is estimated.",18010918453898102,2392,2025-03-07 15:16:24
saved,lifetime,Saved,The number of saves of your post.,18010918453898102,13,2025-03-07 15:16:24
shares,lifetime,Shares,The number of shares of your post.,18010918453898102,4,2025-03-07 15:16:24
total_interactions,lifetime,Post interactions,"The number of likes, saves, comments and shares on your post minus the number of unlikes, unsaves and deleted comments.",18010918453898102,176,2025-03-07 15:16:24
views,lifetime,Views,The number of times your post was played or displayed.,18010918453898102,0,2025-03-07 15:16:24
comments,lifetime,Comments,The number of comments on your post.,18012587584766919,8,2025-03-07 15:16:24
follows,lifetime,Follows,This is how many accounts started following you.,18012587584766919,4,2025-03-07 15:16:24
